word,meaning,commentary,example,example_meaning,Wordtype
correction,補正,"〈U〉『訂正』,修正,調整 
〈C〉訂正箇所,訂正の書き入れ 
〈U〉(よくするための)処罰,叱責(しっせき)",I believe this may be a correction after investigation of his date of birth in the family register.,これはおそらく戸籍上の出生年月日を調べた上で修正したのではないかと思います。,TSL
correctly,正しく；適切に；正確には,"正しく,正確に;正確に言えば","First, they should have right ideas of things, ideas that are based on careful observation, and understand causes of effects and their significance correctly.",第一には、ものの見方を正しくしてその原因と結果とをよくわきまえる。,TSL
creativity,創造性,独創性,"However, some animators, such as Hayao Miyazaki, complain that the rapid expansion of the anime industry has resulted in a dearth of creativity that is leading the industry to a dead-end.11",だが 一部 の アニメーター 、 たとえば 宮崎 駿 は 、 アニメ 産業 が 急 拡大 し すぎ た せい で 、 業界 が 行き詰まっ て いる と 苦情 を 述べ て いる 注 9 。,TSL
deck,甲板；床；飾られる,"『デッキ,甲板』 
デッキ状の部分(バス・電車の床,トラックの荷台,電気装置の配置台など) 
《おもに米》(カードの)1組(《英》pack) 
《話》地面 
(…で)…'を'飾る,装飾する《+『out』+『名』+『with』+『名』》 
(…で)…'を'美しくする,めかす《+『out』+『名』+『in』+『名』》",And there is one more method of climbing up to the slide deck.,そして、この遊具には滑り台のデッキに上がる方法がもう一つあります。,TSL
decorate,飾る,"(…で)…'を'『飾る』,飾り立てる《+『名』+『with』+『名』》 
〈部屋・建物〉‘に'装飾する 
(…に対して)〈人〉‘に'勲章(褒章(ほうしょう))を授ける《+『名』+『for』+『名』》",She decorated the wall with pictures.,彼女は壁を絵で飾った。,TSL
decoration,飾り；装飾品；装飾,"〈U〉『装飾』,飾りつけること 
〈C〉《複数形で》『装飾物』,飾りつけ 
〈C〉勲章",You've done a wonderful job on the interior decoration.,インテリアの趣味がいいですね。,TSL
departmental,"【形】部門（別）の；各部（局,省）の","部門[別]の;各部(局,省)の",departmental policy,部門の政策,TSL
desirable,望ましい,"『望ましい』,好ましい 
(特に)性的欲望を起こさせるような,魅力たっぷりの",It is desirable that she should apologize to him herself.,彼女が自分で彼に謝ることが望ましい。,TSL
desperate,やけくその,"『自暴自棄の』,『やけくその』 
《補語にのみ用いて》切望している 
(回復・改善などの)見込みがない,ほとんど望みがない 
がまんできない,耐えられない 
死にもの狂いの,一か八かの",He was desperate to defend his reputation.,彼は名声を守ろうと必死だった。,TSL
developer,開発者,"〈C〉開発者,啓発者;宅地開発(造成)業者 
〈U〉(写真の)現像液",I meet so many people while working as a developer.,ディベロッパーの仕事では、本当に多くの人と出会います,TSL
dine,食事をする；正餐をとる；ごちそうする.,(一日のおもな食事として)正餐(晩餐)をとる,We dined at our uncle's.,僕たちは叔父の家で食事した。,TSL
diner,安レストラン；食事をする人,"食事をする人,正餐(せいさん)客 
《米》=dining car 
(食堂車を固定し,あるいはこれに似せた)簡易食堂","This kind of service is particularly famous for Diners Club International.
","この種のサービスでは、ダイナースクラブが特に有名。
",TSL
directory,人名簿；住所録；登録簿；管理の,"人名薄,住所録 
(ビルの)居住者表示板",You can find her phone number in the directory.,彼女の電話番号は電話帳でわかりますよ。,TSL
disappointment,失望,"〈U〉『失望』,落胆,期待はずれ 
〈C〉失望させる物(事,人),期待に反する物(事,人)",Her disappointment was apparent to everyone.,彼女の失望は誰の目にも明白だった。,TSL
disgust,嫌悪,"(…で)〈人〉‘に'『吐き気を催させる』,むかむかさせる《+『名』+『at』(『with』)+『名』》 
(…に対する)『いや気』,嫌悪,むかつき《+『at』(『for, toward』)+『名』》",She's disgusted with the job.,彼女はその仕事にうんざりしている。,TSL
dive,飛び込む,"(…から水中などに)『頭から飛び込む』《+『from』(『off』)+『名』+『into』(『in』)+『名』》 
(…を取ろうと)『潜る』,潜水する《+『down for』+『名』》 
(…へ向かって)急降下する,急潜航する《+『down toward』+『名』》 
(…に)駆け込む,逃げ込む《+『into』+『名』》 
(…に)手を突っ込む《+『in』(『into』)+『名』》 
(仕事・問題などに)飛び込む《+『in』(『into』)+『名』》 
…‘を'急降下させる,急潜航させる 
『飛び込み』 
(飛行機の)急降下;(潜水艦・潜水夫などの)急潜航 
《話》怪しげなナイトクラブ,いんちき酒場",She dived into the swimming pool.,彼女はプールに飛び込んだ。,TSL
drawer,引き出し,"〈C〉『引き出し』 
〈C〉引っ張る人 
《複数形で》ズロース","He opened the drawer, and took out a letter.",彼は引出しを開けて、手紙を取り出した。,TSL
drum,太鼓；太鼓を叩く；たたく,"『太鼓』,ドラム 
太鼓の音;太鼓のような音 
(形が)太鼓状のもの;(機械の)ドラム;ドラムかんなど 
=tympanic membrane 
太鼓を打つ(鳴らす) 
(…でテーブル・床などを)ドンドン打つ,トントンたたく,踏みならす《+『on』+『名』+『with』+『名』》 
…‘を'ドンドン(トントン)打つ(鳴らす) 
《話》(人の頭などに)〈考えなど〉‘を'たたき込む,教え込む《+『名』+『into』+『名』》 
(…から)〈人〉‘を'追放(除名)する《+『名』+『out of』+『名』》",She drummed her fingers on the table.,彼女は指でテーブルをとんとんたたいた。,TSL
economical,"【形】経済的な,徳用の,むだのない；節約する,倹約家の","(人が)『節約する』,倹約家の 
(物事が)経済的な,徳用の",Mrs. Suzuki is a very economical housekeeper.,鈴木さんは家計のやりくりが上手な奥さんだ。,TSL
economically,経済的に,"倹約して 
経済的に","It is important to think over what you will do, to pursue your studies economically, and effectively.",することを考え、経済的かつ効率的に研究を遂行する必要があります。,TSL
economist,経済学者,経済学者,"Some economists estimate that housewives' services, valued in money, would amount to about 25% of GNP.",経済学者の中には、主婦の労働は、現金に換算すると、ＧＮＰの約２５パーセントにのぼると見積もる人もいる。,TSL
economize,節約する,"(…を)節約する,倹約する《+『on』+『名』》 
…‘を'節約する,倹約する","Living is dear, accordingly we have to economize.",生活費は高い、だから私たちは倹約しなければならない。,TSL
editorial,"【名/C】社説,論説【形】編集者の；編集上の；社説の,論説の","【名/C】社説,論説(《英》leading article, leader) 
【形】編集者の；編集上の 
社説の,論説の",his opinions appeared frequently on the editorial page,彼の意見は、しばしば社説ページに載った,TSL
electrical,"【形】電気の,電気と関係のある；電気を扱う,電気で動く,電動の；電撃的な【名/C】電気設備（回路）；電気メーカー株","【形】電気の,電気と関係のある
電気を扱う,電気で動く,電動の
電撃的な
【名/C】電気設備（回路）；電気メーカー株",Tom is an electrical engineer.,トムは電気技師です。,TSL
electrician,電気工,"電気技師,電気工",electricians get accustomed to occasional shocks,電気技師は時節の電気ショックに慣れている,TSL
elephant,象,"『ゾウ』 
(共和党の象徴としての)象",The elephant was killed by the hunter.,象は猟師に殺された。,TSL
energetic,精力的な；活発な；意欲的な,"『精力的な』,元気旺盛な",He is an energetic politician.,彼は精力的な政治家だ。,TSL
engagement,婚約；約束,"〈C〉『約束』,契約,取り決め;(会合などの)約束,予約《+『for』+『名』》;(人との)約束《+『with』+『名』》 
〈C〉『婚約』;婚約期間 
〈C〉雇用;雇用期間 
〈C〉会戦,交戦 
《複数形で》債務,負債 
〈U〉〈C〉(歯車などの)かみ合わせ",She broke off her engagement in a fit of anger.,彼女は腹立ちまぎれに婚約を破棄した。,TSL
environmentally,【副】環境的に；環境上；環境保護の面から,"【副】環境的に；環境上
環境保護の面から；環境保護の点で
《文修飾》環境保護の観点から言えば",Recycling is more environmentally friendly.,リサイクルするほうが環境にはやさしい,TSL
equip,"備え付ける, 装備する","(ある目的のために必要な装備などで)〈人〉‘に'『したくさせる』,〈船・軍隊など〉‘に'『装備する』《+『名』+『with』+『名』》,(…に備えて)…‘に'したくさせる,‘を'装備する《+『名』+『for』+『名』》 
(必要な知識・能力などを)〈人〉‘に'身につけさせる:《『equip』+『名』〈人〉+『with』+『名』+『for』+『名』…に備えて…を人に身につけさせる》",He wants to equip his son with a good education.,彼は息子に十分な教育を身につけさせたいと思っている。,TSL
excellence,優秀,"(…における)優秀さ,卓越《+『in』(『at』)+『名』》,(…として)優れていること《+『as』+『名』》",He won the prize for excellence in all subjects.,彼は全科目優等で賞を得た。,TSL
familiarity,親しみやすさ,"〈U〉(物事を)『よく知っていること』,精通していること《+『with』+『名』》 
〈U〉(人に対する)親しさ,親密さ《+『with』+『名』》 
〈U〉なれなれしさ,ずうずうしさ 
《しばしば複数形で》なれなれしい言動",Familiarity breeds contempt.,親しさは侮りを生む。,TSL
familiarize,慣れさせる；普及させる,"《familiarize』+『命』+『with』+『名』(do『ing』)》 
(…に)<人>‘を'慣れ親しませる 
<物事>‘を'広める,普及させる",The purpose of advertising is to familiarize consumers with the name of a product.,広告の目的は製品の名を消費者に普及させることにある。,TSL
faulty,"【形】欠陥のある,不完全な",欠点(欠陥)のある,The errors apparent in his results are due more to carelessness than faulty procedures.,彼が提出した結果に明白に見られる誤りは、手順の欠陥というよりは不注意に起因するものである。,TSL
favorable,好ましい,"『好意的な』,賛成の 
『有利な』,都合のよい",Circumstances are entirely favorable to us.,万事は我々に有利だ。,TSL
frustrate,イライラさせる；失敗する；挫折する,"〈計画・努力など〉‘を'ざ折させる,失敗させる 
(計画などで)〈人〉‘を'ざ折させる,‘の'やる気をくじく《+『名』+『in』+『名』》","If she continues to live with a man she doesn't love for his money, the day will come when she will be utterly frustrated and between the devil and the deep blue sea.",お金のために、愛してもいない男との生活をつづけるならば、すっかり失望して、進退きわまる時が将来やってくることだろう。,TSL
fry,稚魚,"幼魚,稚魚",I like pea pods in my stir fry.,まめのかきあげが好きです。,TSL
garage,車庫；修理工場；車庫に入れる,"(自動車の)『車庫』 
自動車修理場 
〈車〉‘を'車庫に入れる(入れておく)",She backed her car into the garage.,彼女は車を車庫にいれた。,TSL
grocery,食料品,"〈C〉《米》『食料品』[『雑貨』]『店』(《英》ではgrocer's, grocery shopなどが普通) 
《複数形で》『食料』[『雑貨』]『品類』,乾物類 
〈U〉食料品[雑貨]販売業",His acquaintance runs a grocery in the country.,彼の知人が田舎で雑貨屋を経営している。,TSL
guidance,案内；指導；手引き,"『指導』;『案内』;指揮 
(児童・生徒の)指導,ガイダンス 
(宇宙船・ミサイルなどの)誘導[装置]",Depending on the results both companies may be put under administrative guidance from February.,結果次第では、両社に対して2月以来の行政指導が行われる。,TSL
handy,扱いやすい；便利な；すぐ手が届く,"『取り扱いに便利な』,手ごろな,重宝な 
《話》すぐ手元の,すぐ使える(at hand) 
(人が)『器用な』,手先の達者な;(…を)巧みに使う《+『at』(『about, with』)+『名』》",She is handy with a needle.,彼女は針仕事が上手だ。,TSL
harmful,有害,"『有害な』,害になる",Smoking may be harmful to his heart.,煙は彼の心臓によくないかもしれない。,TSL
hesitation,躊躇,"『ためらい』,ちゅうちょ 
口ごもり",A moment's hesitation may cost a pilot his life.,一瞬躊躇すればパイロットは命も落としかねない。,TSL
hobby,趣味,"(他の人と多少変わった)『趣味』,道楽",Is it any of your business what someone's hobby is?,誰がどんな趣味だろうと君の知ったことか？,TSL
identification,識別,"〈U〉同一であることの確認(証明),身元確認,身分証明 
身分証明書","In the U.S., you usually have to show identification in order to buy alcohol.",アメリカでは酒を買うには自分を証明しなければならない。,TSL
indicator,指示する人；尺度；表示計器,"指示する人(物),指示器,表示器;指針 
(リトマスなどの)指示薬",the rate of unemployment is an indicator of the health of an economy,失業率は経済の健康状態の指針である,TSL
individually,個々に,"個々に,個別的に 
個人として,個人的に 
個性的に,独自のやり方で","taken individually, the rooms were, in fact, square",個々に見ると、部屋は、実際は、四角かった,TSL
influential,影響力の強い；有力な,"『有力な』,影響を及ばす;勢力のある","If other conditions are equal, the temperature must be the most influential element in this experiment.",他の条件が等しいなら、温度がこの実験でもっとも影響を与える要素であるに違いない。,TSL
inspect,調べる；検査する；検閲する；視察する,"…‘を'『検査する』,念入りに調べる 
(公式に)…‘を'視勅する","""Right, I'll check your work, OK?"" ""Please go ahead and inspect. I think I gave it a good go.""",「じゃあ、チェックしちゃいますね」「審査宜しく。頑張ったつもりだぜ」,TSL
inspection,立入検査；視察；監査；調査,"検査,点検;視察","The other day, a water quality inspection was carried out at our house. We had it done by a certain famous company's Environment Analysis Center or some such name.",先日我が家の水質検査を行いました。ある有名会社の環境分析センターとかいうところにしてもらいました。,TSL
inspector,調査官；検査官；警視正,"視察官,調査官,監査人(役) 
警部",The suspect told a lie to the inspector.,容疑者は捜査官にうそを言った。,TSL
instruct,指示を与える；命じる；教える,"…‘に'知識(情報,技術など)を与える,教える,知らせる 
〈人〉‘に'『指示する』,命令する",She instructs students in English.,彼女は学生に英語を教える。,TSL
instructor,指導者；先生；専任講師,"教師,指導者 
《米》(大学の)専任講師(assistant professorの下位の職)",My driving instructor says I should be more patient.,教習所の教師にそう焦るなと言われています。,TSL
intently,"一心に, 熱心に","熱心に,専心して","who was still looking intently along the road, shading her eyes with one hand.
","まだ 片手 を 眉 に かざし て 、 道 の 向こう を 熱心 に ながめ て い ます 。
",TSL
interrupt,"【動/他】中断する,割り込む,遮る","(行動や話の途中で)〈人〉‘を'『さえぎる』,妨げる 
〈行為・話など〉‘を'『中断する』 
〈物事〉‘を'さえぎる 
『じゃまする』,話の腰を折る",He interrupted the speaker with frequent questions.,彼は何度も質問して発言者の話の邪魔をした。,TSL
introductory,【形】入門の、紹介の,紹介の;前置の;序文の,began the slide show with some introductory remarks,前置きと共にスライドショーを始めた,TSL
invaluable,貴重な,計り知れないほど貴重な,the girl's motherliness made her invaluable in caring for the children,少女の母親らしさで、彼女は子供を保護することにおいて非常に貴重になった,TSL
irregular,"【形】不規則な,不定期の,でこぼこな","『不規則な』;不定の 
(行いなどが)不規律な,乱れた 
不ぞろいな 
(文法で)不規則変化の 
正規でない人(物),非正規兵 
特価品",Conjugation of irregular verbs - essential for those learning English.,英語を学習する上で不可欠な、不規則動詞の活用。,TSL
jam,"【動/他】を押し込む,を詰め込む《into / in /between》；をぎっしりふさぐ《with》；をぐいっと押す《on》；を一部がつかえて動かなくする；〈放送・通信〉を妨害する【動/自】詰まる；動かなくなる【名/C】混雑,雑踏；故障；窮地","(狭い場所などに)…‘を'『押し込む』,詰め込む《+『名』+『into』(『in』,『between』)+『名』》 
《しばしば受動態で》(…で)〈場所など〉‘を'『ぎっしりふさぐ』《+『名』+『with』+『名』》 
…‘を'ぐいっと押す《+『名』+『on』,+『on』+『名』》 
〈機械など〉‘を'一部がつかえて動かなくする 
(周波数の似た電波で混信させて)〈放送・通信〉‘を'妨害する 
〈物が〉つかえる,詰まる 
(一部分がつかえて)〈機械などが〉動かなくなる《+『up』》 
(狭い場所などに)しゃにむに入り込む《+『into』+『名』》 
(動きがとれないほどの)混雑,雑踏,押し合い 
(機械などが)動かなくなること,故障 
《話》苦しいはめ,苦境,窮地",My father was late for work this morning because of a traffic jam.,父は今朝、交通渋滞のために仕事に遅れた。,TSL
jean,【名/C】《通例~s》ジーパン；（ジーン布製の）作業服【名/U】ジーン布,"【名/C】《通例~s》ジーパン；（ジーン布製の）作業服【名/U】ジーン布（じょうぶなあや織りの綿布）
",Jeans are now in fashion among girls.,女の子の間で今、ジーパンが流行っている。,TSL
juice,ジュース,"〈U〉〈C〉(果物・野菜・肉などの)『汁』,『液』,ジュース;〈U〉(植物の)樹液 
《複数形で》(動物の)体液,分泌液 
〈U〉《俗》電気;ガソリン,燃料オイル 
…‘から'汁をしぼり取る","""Your order?"" ""Orange juice."" ""With ice?"" ""Yes."" ""Thanks for your business.""",「ご注文は？」「オレンジジュース」「アイス付きで？」「そう」「まいど」,TSL
junior,後輩の；経験の浅い；若い方の；年少者,"『若いほうの』,『年下の』;年少者から成る(向けの) 
(役職などが)下の,下級の;後進の,後輩の 
《米》(大学・高校の4(3,2)年制で)3(2,1)年生の 
《通例one's~》『年少者』,年下の人;下位の人,後輩 
《米》(大学・高校の4(3,2)年制で)3(2,1)年生(卒業の年の前年) 
《J-》《米》うちの息子",My fifth-year junior school son has transferred into a school in Nagoya from Shizuoka.,小学５年の息子が静岡から名古屋の小学校に転入しました。,TSL
kilometer,キロメートル,"『キロメートル』(《略》『km.,km』)",They reported the ship to be ten kilometers from shore.,彼らはその船は海岸から１０ｋｍ沖合いに居ると報告した。,TSL
knowledgeable,精通している；熟知した；博識な,"博識の,物知りの 
策にたけた",Being knowledgeable about Japanese culture is a good thing.,日本文化に造詣深いことはいいことです。,TSL
lab,実験室；研究所,実験室(laboratory),May we use the language lab?,ＬＬ教室を使ってもよいですか。,TSL
lamp,街灯；電気スタンド,"(電気・ガス・石油などの)『ランプ』,灯火,明かり 
(照明用以外の)『ランプ』 
(知的・精神的な)光,光明",He hung a lamp from the ceiling.,彼は天井にランプを吊した。,TSL
lane,小道；路地；車線,"『小道』,横町,路地,いなか道 
(船・飛行機などの)航路,(車道の)車線 
(ボウリングの)レーン",In Japan almost all roads are single lane.,日本ではほとんど全ての道路は単車線だ。,TSL
lawn,芝生,『芝生』[『地』],During the orgy Megumi ran naked round the lawn.,乱交パーティーの中で、めぐみはすっぱだかで芝生を走り回った。,TSL
lengthy,長い,"非常に長い 
(話・文章などが)長すぎる,くどい","In his lengthy career, he had never seen the market so high.",長年勤めたが、彼は市場が高騰するのに出会ったことはない。,TSL
librarian,司書,"司書,図書館員,図書係",I told the librarian that I needed the book for a report due on Friday; so she said she would call it in.,私は図書館の職員に金曜日締め切りのレポートのためにその本が必要だと言った。そうしたら彼女は借りている人に返却を求めるように言うと言った。,TSL
lighter,火をつける人；ライター,"(また『cigarette lighter』)(たばこの)ライター 
(一般に)点火器 
火(明かり)をつける人",He felt in his pocket for his lighter.,彼はポケットに手を入れてライターをさがした。,TSL
lightweight,軽量,"ボクシングの)ライト級の選手(130‐135ポンド(59‐61kg)級) 
標準重量以下の人 
(ボクサーが)ライト級の 
重量の軽い",Ms Sato is no lightweight. I just saw her chug three bottles of beer.,いきなりビールを３本飲んでしまうなんて、佐藤さんも侮れないなあ。,TSL
mask,覆面；仮面；表情；見せかけ,"(顔の一部または全部をおおう)『仮面』,覆面 
(防護用の)『マスク』,面 
(石膏(せっこう)などの)面型 
(物・事柄を)覆い隠すもの;見せかけ 
〈顔〉‘に'面をかぶせる 
(…から)〈物・事柄など〉‘を'隠す《+『名』+『from』+『名』》","Just how well can masks block the, even smaller than pollen, yellow sand dust? I think it much more of a nuisance than pollen.",花粉よりも小さな黄砂をマスクでどれだけ防ぐことが出来るのか？花粉よりもずっと厄介者のように思います。,TSL
memorize,"【動/他】を記憶する,暗記する；覚える","【動/他】を記憶する,暗記する；覚える",He memorized ten English words a day.,彼は１日に英単語を１０語覚えた。,TSL
microwave,"【名/C】電子レンジ；（無線電信・電話の）極超短波,マイクロウェーブ【動/他】を電子レンジで調理する","【名/C】電子レンジ
（無線電信・電話の）極超短波,マイクロウェーブ（波長1m以下の電波;レーダーなどに使用する）
【動/他】を電子レンジで調理する,電子レンジにかける","That year's buzzword was digital: digital clocks, digital microwave ovens, even digital pens.",その年の流行語はデジタルで、例えばデジタル時計、デジタルマイクロウエーブオーブンとか、デジタルペンであった。,TSL
mower,芝刈り機,"(また『mowing machine』)(人が乗って動かす)草(穀物)刈り機 
(また『law mower』)芝刈り機 
草(穀物)を刈る人",May I borrow your lawn mower?,芝刈り機を貸してもらえませんか？,TSL
nail,くぎ；びょう；爪,"(手の)『つめ』(fingernail);《まれ》(足の)つめ(toe-nail);(鳥獣の)つめ(claw, talon) 
『くぎ』,びょう 
(…に)…‘を'くぎ(びょう)で止める《+『名』+『on』(『to』)+『名』》 
(…に)〈人,人の注意・目など〉‘を'くぎ付けにする《+『名』+『on』(『to』)+名》 
《話》…‘を'つかまえる,しとめる;〈うそなど〉‘を'見破る",She scratched her finger on a nail.,彼女は釘で指をひっかいた。,TSL
occurrence,発生,"〈U〉(事件などが)『起こること』,発生 
〈C〉『でき事』,事件",Evidence that the above example is farfetched can be seen by comparing the total occurrences of component X.,上の例が不自然であることの証拠は、構成要素Ｘが現れた総数を比較することでわかる。,TSL
officially,"【副】公式に,正式に / 形式的には,表面上は","公選上,職務がら 
公式に 
形式的には,表面上は","So to officially change your name you have to make it public, 
","そこで 、 名前 を 変える に は 、 改名 の 披露 （ ひろ う ） と いう もの を し ない と いけ ない 。
",TSL
operational,"【形】操作可能な,作戦の","操作上の 
作戦上の 
(航空機などが)いつでも使用できる,操作できる","At present ""consume all consumable resources"" is assigned as the operational meaning of TETRA.",現在はＴＥＴＲＡの操作的な意味を 「すべての消費可能なリソースを消費する」と与えている。,TSL
optional,自分で選べる；随意の,"選択が自合の,随意の","The rc (control) file syntax includes optional `noise' keywords that are entirely ignored by the parser.
","rc ファイル の 構文 は 、 オプション の 「 ノイズ 」 キーワード を 持っ て い て 、 これ は パーサー に 完全 に 無視 さ れる 。
",TSL
organizational,"【形】組織の,組織的な,組織上の,構成上の；組織化する（能力など）","【形】組織の,組織的な,組織上の,構成上の；組織化する（能力など）","On the contrary, we have to continue doing what should be done to hold these elections on all the presidential, legislative, administrative and organizational levels.
","それどころか 、 我々 は 長官 、 評議 員 、 首長 、 および 組織 レベル の すべて において 、 これら の 選挙 を 開催 する ため に なす べき こと を 絶えず 続け て いか なけれ ば なり ませ ん 。
",TSL
organizer,主催者,組織者;設立者;(組合の)オルグ,the gathering satisfied both organizers and attendees,その集会は主催者と出席者の両方を満足させた,TSL
oven,オーブン；天火；かまど；炉,"天火,かまど,オーブン",A microwave oven gets food hot in an instant.,電子レンジはあっという間に食べ物を温める。,TSL
pan,鍋；酷評；酷評される,"(通例ふたのない片柄の)『平なべ』 
平なべ状の物;(はかりなどの)皿;(砂金などを砂利から分ける)選鉱なべ 
硬質地層 
…‘を'平なべで煮る 
〈砂金など〉‘を'えり分ける,選鉱する《+『off』(『out』)+『名,』+『名』+『off』(『out』)》 
《話》…‘を'こきおろす,酷評する 
(…を得るために)選鉱なべで洗う《+『for』+『名』》",He is such a tidy person. Every pot and pan is in its place.,彼は非常にきちんとした人なので、すべての鍋類はあるべき場所に整理されている。,TSL
performer,役者；芸人；遂行する人；選手,"《修飾語を伴って》実行する人,遂行する人 
演奏者,上演者;(特に)芸人",The audience applauded the performer.,聴衆は演奏者に拍手を送った。,TSL
periodical,定期刊行物,"=periodic 
定期刊行の 
(月刊などの)『定期刊行物』,雑誌",There are a number of shops selling foreign books and periodicals.,外国の書籍や定期刊行物を販売している店がいくつかある。,TSL
periodically,【副】定期的に；周期的に,【副】定期的に；周期的に；一定期間ごとに,"who would periodically send him interesting tapes. 
","かれ ら は 時々 おもしろい テープ を 送っ て き た 。
",TSL
pet,愛玩動物；大好きな；お気に入りの；支持している,"『愛がん動物』,ペット 
《単数形で》お気に入りの人(物) 
(動物などが)愛がん用の,ペットの 
(名前などが)愛情を表す 
お気に入りの;お得意の 
…‘を'愛撫(あいぶ)する,かわいがる","""Pet loss"" refers to the reactions of shock and anger that occur in owners who have been bereaved of their pets.",ペットロスとは、ペットを失った飼い主に起きるショックや怒りなどの反応をいう。,TSL
pie,パイ；総額；簡単な仕事；楽勝,パイ,"He asked for pie, and I ordered the same.",彼はパイを頼んだ、私も同じものを注文した。,TSL
plug,プラグ；売り込み；栓をする；つなぐ；差し込む；一生懸命働く；,"(穴・すきまなどをふさぐ)『栓』,くさび 
(電気の)『差し込み』,プラグ 
《話》=spark plug 
消火栓(fireplug) 
(一口分に切った)かみたばこ 
《話》(テレビ・ラジオの番組にはさんだ)宣伝,広告 
《米俗》老いぼれ馬 
〈穴・すきまなど〉‘を'『ふさぐ』,‘に'せんをする《+『up』+『名』,+『名』+『up』》 
…‘の'プラグを努し込む《+『in』+『名,』+『名』+『in』》;コンセントに)…‘の'プラグを努し込む《+『名』+『into』+『名』》 
《話》(…に)こつこつ(せっせと)取り組む《+『away』(『along』)『at』+『名』》",He plugged in the radio.,彼はラジオをコンセントにつないだ。,TSL
polish,研磨,"…‘を'『磨く』,光らせる,‘の'つやを出す 
〈態度・言葉など〉‘を'『洗練する』,上品にする 
〈文章・演技など〉‘に'磨きをかける 
磨いてつやが出る,滑らかになる 
《a ~》光沢,つや 
〈U〉〈C〉つや出し,みがき粉 
《a ~》磨きをかけること 
〈U〉(態度・ふるまいの)先練,上品さ",When did the Japanese start eating polished rice?,いつから日本人は精白米を食べるようになったのですか？,TSL
polite,"【形】礼儀正しい,ていねいな；先練された,教養のある,上品な","【形】礼儀正しい,ていねいな
先練された,教養のある,上品な
",Be polite to your parents.,両親には礼儀正しくしなさい。,TSL
pollute,"【動/他】を汚染する,汚す","(…で)〈水・空気・土など〉‘を'『汚す』,『汚染する』,不潔にする《+『名』+『with』(『by』)+『名』(do『ing』)》 
(道徳的に)〈精神〉‘を'汚す,堕落せせる 
〈聖地など〉‘を'冒涜(とく)する",The city has no rival for polluted air.,大気汚染にかけてはその都市ほどひどい所はない。,TSL
popularity,人気,"(人の間での)『人気』,好評,流行《+『with』(『among』)+『名』〈人〉》","That sports are gaining in popularity all over the world is evidenced by the sports news in the papers, by the many sports equipment stores, and by the number of runners who participate in marathons or other races.",世界中でスポーツの人気が高まっていることは、新聞でのスポーツ・ニュース、スポーツ用品店の多さ、マラソンその他のレースに参加する人の数などによって明らかである。,TSL
productive,"【形】生産的な,好ましい結果を生み出す；たくさん産出(生産)する,多産の","生産的な,好ましい結果を生み出す 
たくさん産出(生産)する,多産の",Tobacco smoke is productive of cancer.,タバコの煙はガンを引き起こす。,TSL
productivity,生産性,"生産力,生産性",The best way for adjusting the gap between the internal and the external price and securing economic growth is to promote the non-manufacturing industry's productivity by aggressive investing in facilities.,製造業に比べて大きく遅れをとっている非製造業における生産性向上、それも設備投資の活性化により内外価格差の是正と成長力を確保するというのがベストシナリオだ。,TSL
professionally,専門的に,"職業的に,専門的に",The garden has been professionally laid out.,その庭はプロの手で設計されている。,TSL
projection,【名/C】見積もり; 予測；突起部；投影されたもの,"〈U〉突き出[させ]ること;〈C〉突起 
(影・映像などの)透写;(映画・スライドの)映写;〈C〉投影図,投射図 
〈U〉発射,射出 
〈C〉予測,予知 
〈U〉〈C〉(自分の考え・感情を)人に投影すること","Glancing upward, I saw the aperture, a small blue disk, in which a star was visible, while little Weena's head showed as a round black projection.
","上 を 見る と 、 開口 部 が 小さな 青い 円盤 と なっ て 見え 、 そこ に 星 が 見え 、 そして 小さな ウィーナ の 頭 が 丸い 黒い 影 として 見え て い ます 。
",TSL
provider,プロバイダ；供給者,供給者,"The Nakahara clan was specialized in Myobodo (the study of Codes) and Myogyodo (the study of Confucian classics) and maintained for a long time its status as the Kanmu(a provider of official services) family for the Imperial court by inheriting positions Daigeki (senior secretary in charge of official documents) and Shogeki (junior secretary in charge of official documents).
","中原氏は明法道、明経道を司る家系で、大外記、少外記を世襲職とする朝廷の官務家として長く続いた。
",TSL
purchaser,購入者,買い手,"THE PURCHASER of a black servant was persuaded that the color of his skin arose from dirt contracted through the neglect of his former masters.
","黒人 の 奴隷 を 買っ た 男 が 、 彼 の 黒い 肌 を 見 て 、 前 の 主人 が 怠慢 で 、 彼 を 洗っ て やら なかっ た の で 、 汚れ が こびりつい て いる の だ と 思っ た 。
",TSL
quit,終了する,"…‘を'『やめる』,『中止する』 
〈職・地位など〉‘を'『断念する』,『此てる』,放棄する 
《英では古》〈人・土地など〉‘から'去る 
やめる,中止する 
辞職(退職)する 
(敗北を認めなどして)断念する 
去る;立ちのく 
(…を)免れた,(…から)自由な《+『of』+『名』》",We were all pleased to be so cheaply quit of him.,これだけで厄介払いできたら安いもので、みな大喜びした。,TSL
ray,光線；熱線,"『光線』;熱線;放射線 
《a ~》(希望などの)一筋(ひとすじ),ごく少量《+『of』+『名』》 
放射状に突き出たもの;(ヒトデなどの)腕",He put on sunglasses to protect his eyes from ultraviolet rays.,彼は目を紫外線から守るためにサングラスをかけた。,TSL
